title,category,brand,description,starsBreakdown/3star,starsBreakdown/4star,starsBreakdown/5star,reviewsCount,average_rating,price/currency,price/value,categoryPageData/productPosition
"Kiddokids 28 Packs Valentines Day Heart Shell with Mochi Squishy, Valentine Day Gift Cards with Kawaii Stress Relief Toys for Kids School Classroom Exchange Greeting Cards, Party Favors Games Prizes",Gift Card,KIDDOKIDS COOL THINGS FOR COOL KIDS,"Quantity 28 Packs Cute Kawaii Mochi Squishy with Valentines Day Heart Shells and Valentine Cards.Feature  Fill the Valentine Shell with a Cute Kawaii Mochi Squishy and tie a Greatting Card to it send your warm greeting to your classmates. Size  Each Valentine’s Day Heart Shell measures 2.55 x 2.55 inches; Gift Card measures 2.4 x 2.4 inches; Each Mochi Squishy measures about 2 inches. Usage Best Way to show Holiday Spirit in School Classroom, Valentine's Day Party Favors, Church Events and more. Ideal for Valentines Exchange Gifts, Prize, Arts & Crafts, Love Notes. Suitable for all Ages. 100% satisfaction Feel free to contact us if products don’t meet your expectations.",0.12,0.12,0.71,53,4.621052631578947,$,14.99,287
"SKPAND Handmade Romantic Gifts for Her Anniversary Present,Gorgeous Birthday Gifts for Wife Gifts from Husband,to My Love Valentines Day Gifts for Her Unique",Other,SKPAND,Tidak ada deskripsi,0.05,0.13,0.77,244,4.757894736842106,$,62.66,230
"WDQQ Candle Warmer Lamp, Candle Warmer Lamp with Timer & Dimmer, Candle Warmer Light for Jar Candles, Electric Candle Lamp Adjustable Height, with 2 Bulbs 50W Bulbs, Valentines Day Gifts for Her",Household Supplies,WDQQ,Tidak ada deskripsi,0.02,0.06,0.84,73,4.891304347826087,$,28.98,286
"AREOK Gifts for Wife Gifts from Husband, Happy Anniversary - Romantic Valentines Day Gifts for Wife Her, Best Wife Birthday Gifts, Ring Dish Holder, Jewelry Tray, Trinket Dish, I Love You",Accessories,AREOK,Tidak ada deskripsi,0.03,0.1,0.85,1074,4.836734693877552,$,16.95,143
"GUCED Galaxy Glass Rose, Birthday Valentines Day Gifts for Her Women, Valentines Gifts for Women Girlfriend Wife, Mothers Day First Gifts from Daughter Son Husband, Unique Gifts for Wife",Flower,GUCED,Tidak ada deskripsi,0.05,0.12,0.73,1049,4.755555555555556,$,15.99,234
"Benresive 300 Pcs Valentines Day Stickers for Kids Classroom, Cute Valentines Day Water Bottle Stikers, Valentines Day Party Favors Bulk, Valentines Day Gifts for Kids Classroom Pack",Accessories,Benresive,Tidak ada deskripsi,0.07,0.1,0.78,877,4.747368421052632,$,14.99,227
"Godiva Chocolatier Valentine's Day Assorted Chocolate Truffles Gift Box with Red Ribbon - 36 Piece Gourmet Chocolate Selection with Milk Chocolate, Crunchy Almonds, Dark Chocolate Truffles & Salted Caramel",Chocolate,Godiva Chocolatier,"This exquisite Godiva Chocolatier chocolate gift box unveils a sumptuous selection of milk chocolate delights. Crafted meticulously with the finest ingredients, each piece promises a creamy texture that gracefully melts on your palate, providing a luxurious taste experience. From from the deep allure of dark chocolate ganache with liquid fondant, to the comforting embrace of creamy sweet orange ganache and the vibrant notes of milk chocolate mousse and chocolate lava cake, each bite embodies Godiva's unwavering dedication to quality and irresistible flavor, making the festive season even more magical. Beyond being a sensory indulgence, this chocolate gift box is also a visual feast. Nestled within an elegantly designed elegant box, these chocolates make for a splendid and thoughtful Valentine present. The assortment is not only perfect for gifting, but it's also a delightful way to embellish celebrations like birthdays and anniversaries occurring throughout the year. Impress and pamper your loved ones with world-class chocolates or indulge yourself with a gourmet treat that embodies the spirit of giving. With Godiva Chocolatier, every moment becomes a festive celebration of premium chocolates.",0.02,0.08,0.84,391,4.872340425531915,$,66.0,250
"Valentines Day Gifts for Wife, Gifts for Her, Girlfriend - Wife Valentines Day Gift Ideas, I Love You Gifts for Her - Anniversary, Birthday, Couples Gifts for Him Her Husband - Romantic Candle 10 oz",Household Supplies,VIWIX,Tidak ada deskripsi,0.06,0.06,0.89,25,4.821782178217822,$,18.95,282
Cherislpy 24 Pcs Valentines Day Gifts Cards with Race Cars Pull Back Cars Toys Valentines Gift Exchange for Kids Him Her Party Favors Valentine's Day Decor,Gift Card,Cherislpy,Tidak ada deskripsi,0.0,0.27,0.27,4,4.5,$,5.99,284
"FINGOOO 72 Pcs Valentine's Day Plastic Treat Bags, Small Valentines Goodie Bag Candy Bags with Heart Shaped Window for Valentine Party Favor Bags Gift Exchange",Candy,FINGOOO,72 Pcs Valentine's Day plastic treat bags in 6 unique Valentine's themed patterns,0.0,0.0,1.0,1,5.0,$,3.79,256
Pinkiwine 48 PCS Valentines Cards with Mochi Squishy Toys Squishies for Kids School Class Classroom Valentines Day Gifts Prizes Party Favors,Gift Card,Pinkiwine,"Pinkiwine 48 PCS Valentines Cards with Mochi Squishy Toys  Features: 1. The 48pcs Valentines Cards with Mochi Squishy Toys are perfect for kids, boys, girls, toddlers, valentines toys, valentines gifts, valentines party favors, valentines day cards gifts, school event prizes, class exchanging gifts 2. There are 24 styles for the squishies, white heart, pink heart, red heart, pink rose, red rose, pink bear, white bear... all in valentines theme. Each style has 2pcs, 48pcs in total 3. Also there are 48 pcs exquisite Valentines Day Cards in the package that in 4 colors, each color 12 pcs - best Valentines Gifts with cards 4. Just put the double-sided adhesive tape (included) on the card, then put the squishy toys on it, so it is a valentines day gift with card  Specifications: Styles: Valentines Color: As picture shows Materials: Rubber",0.05,0.15,0.77,323,4.742268041237113,$,23.99,237
"Gifts for Men, Dad Gifts from Daughter Son, Valentines Day Gifts for Him Boyfriend Husband, 9 in 1 Multitool Pen, Cool Tools Gadgets for Men, Mens Gifts for Christmas, Stocking Stuffers for Adults",Household Supplies,SAPGIF,Tidak ada deskripsi,0.05,0.13,0.77,516,4.757894736842106,$,9.99,193
